	ARTICLE	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
585	PMC4438576	47	['All samples were obtained in compliance with internal review board regulations (COMIRB #95-500 and #09-0906).']	(8644, 8753)
586	PMC4438576	48	['Nucleic acid extraction, amplification and microarray preparation\n\nRNA from all surgical specimens was extracted, amplified, labeled and hybridized to Affymetrix HG-U113 plus 2 microarray chips (Affymetrix, Santa Clara, CA, USA) according to manufacturerâ\x80\x99s instructions and as described previously.']	(8755, 9055)
587	PMC4438576	49	['SNaPshot analysis for CTNNB1 and BRAF mutations was performed at the University of Colorado Pathology Core per manufacturerâ\x80\x99s instructions and as described previously.']	(9056, 9225)
588	PMC4438576	50	['Patient characteristics, including presence or absence of CTNNB1 mutations by SNaPshot analysis, are shown in TableÂ\xa01.']	(9226, 9345)
589	PMC4438576	52	['This mutation was not found in any ACP sample tested.']	(9511, 9564)
590	PMC4438576	53	['Microarray data analysis\n\nData analysis was performed in R (http://www.r-project.org), using packages publicly available through Bioconductor (http://www.bioconductor.org).']	(9566, 9738)
591	PMC4438576	54	['As a first step, the scanned microarray data were background corrected and normalized using the gcRMA algorithm resulting in log 2 gene expression values.']	(9739, 9893)
592	PMC4438576	55	['Publically available microarray CEL file data were obtained for 9 normal pituitary and 14 pituitary adenoma samples from GEO (GSE26966); these samples were chosen because they were processed in the same manner as ours and through the same microarray core lab.']	(9894, 10153)
593	PMC4438576	56	['These were combined with the ACP, other tumor, and normal brain cohort as detailed above.']	(10154, 10243)
594	PMC4438576	57	['Multiple probesets for a gene were then collapsed to 1 entry per gene, based on the mean best-expressed probeset for that gene.']	(10244, 10371)
595	PMC4438576	58	['Hierarchical clustering was performed using the normalized gene expression data.']	(10372, 10452)
596	PMC4438576	59	['Distances based on Spearman correlations were calculated for input to an agglomerative algorithm with use of complete linkage, as implemented in the Bioconductor hclust function.']	(10453, 10631)
597	PMC4438576	60	['These microarray data have been deposited in the National Center for Biotechnology Information Gene Expression Omnibus (GEO) database and are publicly accessible through GEO Series accession number GSE68015 (http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68015).']	(10632, 10900)
598	PMC4438576	61	['Differential gene expression between ACP and multiple other tumor and normal tissue types was calculated using the Bioconductor limma function.']	(10902, 11045)
599	PMC4438576	62	['Data were filtered before input to eliminate genes not expressed in any samples or that showed only limited variance across samples.']	(11046, 11178)
600	PMC4438576	63	['The limma function performs pair-wise comparisons between a target group and each of the other user-defined groups in the dataset.']	(11179, 11309)
601	PMC4438576	64	['It uses an Empirical Bayes approach to calculate a moderated t-statistic and calculates a false discovery rate (FDR) that accounts for multiple testing both within and across groups.']	(11310, 11492)
602	PMC4438576	65	['The unique molecular signature of ACP was defined as genes that showed significant differential expression in all of the pair-wise comparisons (FDR â\x89¤0.1 and mean fold difference â\x89¥1.5) and for which the mean difference was in the same direction when compared with all of the other clusters (i.e., either all upregulated or all downregulated in all of the comparisons with respect to ACP).']	(11493, 11884)
603	PMC4438576	66	['In further analyses, individual tumor gene expression of select genes involved in putative ACP development/biology were extracted from the normalized dataset.']	(11886, 12044)
604	PMC4438576	67	['For these comparisons, normalized hybridization intensity values for a selected gene for individual ACP samples were presented as fold-difference relative to the average of all other tumor and normal samples.']	(12045, 12253)
605	PMC4438576	68	['Data analysis using hierarchical clustering, NIH Database for Annotation, Visualization, and Integrated Discovery (DAVID) bioinformatics tools has been previously described.']	(12255, 12428)
606	PMC4438576	69	['Functional analysis of genes was performed with DAVID using the Gene Ontology, Protein Analysis Through Evolutionary Relationships (PANTHER) Biological Process and KEGG databases.']	(12429, 12608)
607	PMC4438576	70	['ACP upregulated genes were compared to known targets of FDA approved and other oncology drugs that had reached clinical trial stage, as published in the literature and compiled in Ingenuityâ\x80\x99s KnowledgeBase (Ingenuity Systems, www.ingenuity.com).']	(12609, 12856)
608	PMC4438576	71	['Oncology drug target gene expression in individual ACP samples (nâ\x80\x89=â\x80\x8915) was compared to all other tumor and normal tissue combined and assigned percentile scores.']	(12857, 13023)
609	PMC4438576	72	['Drug target genes that were consistently highly expressed (>66th percentile) in all ACP samples were identified, and then ranked according to the highest average percentile expression.']	(13024, 13208)
610	PMC4438576	73	['Western blot validation of functional isoforms of putative drug targets\n\nProtein levels of a selection of putative drug target genes in ACP were examined by Western blot analysis to validate the results of microarray analysis.']	(13210, 13436)
611	PMC4438576	74	['Snap frozen tumor samples were homogenized in RIPA buffer (Sigma) supplemented with protease and phosphatase inhibitors (Roche).']	(13437, 13565)
612	PMC4438576	75	['This study utilized 6 ACP samples and 3 each of AT/RT, EPN, GBM, MED, PA and normal brain (obtained from autopsy material).']	(13566, 13689)
613	PMC4438576	76	['Proteins samples (30Â\xa0Î¼g) were resolved on a 26 well Criterion Gel (BioRad) and transferred to Immobilon PVDF membrane (Millipore).']	(13690, 13822)
614	PMC4438576	77	['Membranes were probed with antibodies to SHH (Millipore #06-1106; 1:1000), MMP9 (Cell Signaling #3852; 1:1000), MMP12 (R&D Systems #AF917; 1:1000) and Actin (Cell Signaling #12262; 1:10,000).']	(13823, 14014)
615	PMC4438576	78	['Results\n\nIdentification of potential drug targets and ACP signature genes\n\nCaption (TABLE-WRAP): TABLE 2\n\nTop 20 therapeutic target genes overexpressed in ACP compared to normal brain tissues and a variety of CNS and peripheral malignancies\n\nSymbol\tGene name\tAverage percentile\t# of ACP >66th %-ile\tTherapeutic agents\tFold\tp-Value\t \tMMP12\tmatrix metallopeptidase 12\t99.4\t15\tAZD1236\t820\t3.03E-49\t \tSHH\tsonic hedgehog homolog\t98.9\t15\tErismodegib, Vismodegib\t96.8\t1.48E-48\t \tIL2RB\tinterleukin 2 receptor, beta\t96.7\t15\tDenileukin diftitox\t12.4\t4.87E-23\t \tLCK\tlymphocyte-specific protein tyrosine kinase\t95.2\t15\tDasatinib, Pazopanib\t5.50\t8.24E-16\t \tEPHA2\tEPH receptor A2\t95.1\t15\tDasatinib, Regorafenib\t16.6\t6.8E-16\t \tAREG\tAmphiregulin\t93.9\t15\tCetuximab\t20.8\t4.82E-17\t \tPIK3CD\tphosphoinositide-3-kinase, catalytic, delta\t93.8\t15\tIdelalisib\t6.79\t3.55E-10\t \tIL6R\tinterleukin 6 receptor\t91.9\t15\tSiltuximab\t6.13\t7.06E-8\t \tMMP9\tmatrix metallopeptidase 9\t91.6\t15\tAZD1236\t41.0\t9.79E-14\t \tEPCAM\tepithelial cell adhesion molecule\t90.7\t15\tTucotuzumab celmoleukin\t87.4\t2.01E-11\t \tSRC\tv-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog\t89.9\t15\tBosutinib, Dasatinib\t2.47\t3.71e-7\t \tMUC1\tmucin 1\t89.3\t15\tHuHMFG1\t6.30\t1.27E-7\t \tERBB3\tv-erb-b2 erythroblastic leukemia viral oncogene homolog 3\t86.7\t15\tLapatinib\t22.8\t4.19E-08\t \tTNFSF11\ttumor necrosis factor (ligand) superfamily, member 11\t91.7\t14\tDenosumab\t5.17\t4.28E-8\t \tMAPK14\tmitogen-activated protein kinase 14\t91.3\t14\tRegorafenib\t2.65\t2.49E-8\t \tPTGS2\tprostaglandin-endoperoxide synthase 2\t85.6\t14\tLenalidomide\t10.5\t9.23E-7\t \tRRAS\trelated RAS viral (r-ras) oncogene homolog\t85.4\t14\tSorafenib\t3.61\t2.32E-5\t \tPSMB1\tproteasome (prosome, macropain) subunit, beta type, 1\t83.8\t14\tCarfilzomib\t1.45\t5.85E-5\t \tEGFR\tepidermal growth factor receptor\t83.4\t14\tCetuximab, Erlotinib, Gefitinib, Lapatinib, etc.']	(14016, 15850)
616	PMC4438576	80	['Expression of the indicated genes in ACP relative to a broad range of pediatric and adult brain tumor types: atypical teratoid/rhabdoid tumor (AT/RT), choroid plexus papilloma (CPP), ependymoma (EPN), glioblastoma multiforme (GBM), medulloblastoma (MED), meningioma (MEN), pilocytic astrocytoma (PA), primitive neuroectodermal tumor (PNET); peripheral pediatric solid tumors: malignant peripheral nerve sheath tumors (MPNST), rhabdomyosarcoma (RMS); in addition to malignant (pituitary adenoma) and normal pituitary (PT and N_P respectively); and normal brain and choroid plexus (N_B and N_CP respectively).']	(16020, 16627)
617	PMC4438576	81	['Dasatinib targets, LCK (lymphocyte-specific protein tyrosine kinase), EPHA2 (ephrin type-A receptor 2) and SRC (SRC proto-oncogene, non-receptor tyrosine kinase) (a).']	(16628, 16794)
618	PMC4438576	82	['Sonic hedgehog homolog (b).']	(16795, 16822)
619	PMC4438576	83	['Matrix metalloproteases 9 & 12 (c).']	(16823, 16858)
620	PMC4438576	84	['EGF pathway genes (d).']	(16859, 16881)
621	PMC4438576	85	['Values are expressed as log2 gene expression.']	(16882, 16927)
622	PMC4438576	86	['Horizontal red bars represent the mean, and error bars represent standard error of the mean (SEM)\n\nCaption (Fig): FIG 2\n\nOverexpression of active protein isoforms for SHH, MMP9 and MMP12 in ACP relative to other common pediatric brain tumors and normal brain.']	(16928, 17187)
623	PMC4438576	87	['Western blot analysis was used to determine latent preforms and cleaved active isoforms of the indicated proteins.']	(17188, 17302)
624	PMC4438576	88	['(Abbr: AT/RT, atypical teratoid/rhabdoid tumor; EPN, ependymoma; GBM, glioblastoma; MED, medulloblastoma; PA, pilocytic astrocytoma; Norm, normal brain)\n\nThe Î²-catenin and BRAF mutational status of each tumor sample is presented in TableÂ\xa01.']	(17303, 17545)
625	PMC4438576	91	['This approach identified 13 drug target transcripts that were consistently overexpressed greater than the 66th percentile in ACP (TableÂ\xa02).']	(18008, 18148)
626	PMC4438576	92	['Three of the 13 consistently elevated drug target genes, LCK (lymphocyte-specific protein tyrosine kinase) (5.5 fold change (FC) in ACP versus all other samples combined, pâ\x80\x89=â\x80\x898.2â\x80\x89Ã\x97â\x80\x8910â\x88\x9216), EPHA2 (ephrin type-A receptor 2) (FCâ\x80\x89=â\x80\x8916.6, pâ\x80\x89=â\x80\x896.8â\x80\x89Ã\x97â\x80\x8910â\x88\x9216) and SRC (SRC proto-oncogene, non-receptor tyrosine kinase) (FCâ\x80\x89=â\x80\x892.5, pâ\x80\x89=â\x80\x893.7â\x80\x89Ã\x97â\x80\x8910â\x88\x927), are targets of a single FDA-approved drug, dasatinib (Fig.Â\xa01a).']	(18149, 18592)
627	PMC4438576	95	['SHH is translated as an inactive precursor 45Â\xa0kDa protein that is cleaved to generate an active 19Â\xa0kDa isoform.']	(18978, 19091)
628	PMC4438576	100	['Like SHH, MMP9 and 12 are translated as inactive precursor proteins (92 and 55Â\xa0kDa respectively) that are cleaved to generate active isoforms (84 and 43/22Â\xa0kDa, respectively).']	(19817, 19994)
629	PMC4438576	101	['MMP isoform levels were compared to a panel of other pediatric brain tumor types and normal brain.']	(19995, 20093)
630	PMC4438576	103	['Both the active and inactive isoforms of MMP12 were restricted to ACP (Fig.Â\xa02).']	(20242, 20322)
631	PMC4438576	104	['ACP additionally overexpressed AREG (FCâ\x80\x89=â\x80\x8920.9, pâ\x80\x89=â\x80\x894.8â\x80\x89Ã\x97â\x80\x8910â\x88\x9217), EGFR (FCâ\x80\x89=â\x80\x897.6, pâ\x80\x89=â\x80\x896.0â\x80\x89Ã\x97â\x80\x8910â\x88\x925) and ERBB3 (FCâ\x80\x89=â\x80\x8922.8, pâ\x80\x89=â\x80\x894.2â\x80\x89Ã\x97â\x80\x8910â\x88\x928) (Fig.Â\xa01d).']	(20323, 20515)
632	PMC4438576	105	['Each of these is a target of the numerous EGFR/ERBB pathway inhibiting drugs (cetuximab, erlotinib, lapatinib).']	(20516, 20627)
633	PMC4438576	107	['Unbiased hierarchical clustering analysis of a panel of craniopharyngioma tumor samples compared to other pediatric tumors, normal brain tissue, pituitary tissue and adult pituitary adenomas.']	(20857, 21048)
634	PMC4438576	108	['The top 30Â\xa0% most variant genes, were used to generate the clustering dendrogram above.']	(21049, 21137)
635	PMC4438576	110	['ACP samples did not group with the cluster containing both normal and neoplastic pituitary (Fig.Â\xa03).']	(21522, 21623)
636	PMC4438576	115	['Gene expression signature recapitulates ACP histopathological characteristics\n\nCaption (TABLE-WRAP): TABLE 3\n\nEnriched ontology terms associated with ACP-exclusive genes.']	(22585, 22755)
637	PMC4438576	117	['DAVID was used to identify 23 enriched ontologies (FDRâ\x80\x89<â\x80\x890.005) that are shown ranked according to fold enrichment.']	(22907, 23026)
638	PMC4438576	118	['Abbreviation: Ontology ID prefix GO, Gene ontology biological process; BP, panther biological process; HSA, KEGG pathway; FDR, Benjamini false discovery rate adjusted p-value\n\nOntology term\tID\tFold enrichment\tp-Value\tFDR\t \tBiomineral formation\tGO:31214\t13.38\t2.53E-07\t5.50E-05\t \tOdontogenesis of dentine-containing tooth\tGO:42475\t11.28\t5.50E-06\t8.69E-04\t \tEpidermis development\tGO:8544\t11.06\t3.10E-27\t2.70E-24\t \tEctoderm development\tGO:7398\t10.78\t2.62E-28\t4.55E-25\t \tEpidermal cell differentiation\tGO:9913\t9.17\t6.27E-08\t1.56E-05\t \tKeratinocyte differentiation\tGO:30216\t9.17\t2.74E-07\t5.29E-05\t \tOdontogenesis\tGO:42476\t9.17\t5.23E-06\t9.09E-04\t \tEpithelial cell differentiation\tGO:30855\t8.43\t5.25E-13\t3.04E-10\t \tSkeletal development\tBP:201\t5.81\t7.85E-07\t1.96E-05\t \tEpithelium development\tGO:60429\t5.57\t1.46E-10\t6.33E-08\t \tBone development\tGO:60348\t5.37\t1.42E-05\t0.00205\t \tOssification\tGO:1503\t5.26\t4.46E-05\t0.00515\t \tCell structure\tBP:286\t3.72\t2.38E-14\t2.98E-12\t \tCell adhesion-mediated signaling\tBP:120\t3.66\t4.34E-08\t1.36E-06\t \tCytokine-cytokine receptor interaction\tHSA:4060\t3.38\t5.13E-05\t0.00557\t \tSkeletal system development\tGO:1501\t3.28\t2.06E-05\t0.00274\t \tCell structure and motility\tBP:285\t2.85\t2.68E-13\t1.68E-11\t \tCell adhesion\tGO:7155\t2.83\t4.39E-08\t1.52E-05\t \tBiological adhesion\tGO:22610\t2.82\t4.48E-08\t1.30E-05\t \tCell communication\tBP:274\t2.46\t6.08E-10\t2.53E-08\t \tCell adhesion\tBP:124\t2.30\t1.57E-04\t0.00280\t \tRegulation of cell proliferation\tGO:42127\t2.24\t3.69E-05\t0.00457\t \tSignal transduction\tBP:102\t1.43\t1.21E-04\t0.00251\t \t\n\nCaption (Fig): FIG 4\n\nExpression of the indicated genes in pediatric ACP.']	(23027, 24633)
639	PMC4438576	119	['p63 gene expression in the indicated tumor and normal tissue types (a).']	(24634, 24705)
640	PMC4438576	120	['Wnt pathway (b) and Î²-catenin (TCF/LEF) target gene expression (c).']	(24706, 24774)
641	PMC4438576	121	['Genes at chromosome 4p5 locus (d).']	(24775, 24809)
642	PMC4438576	122	['Values are expressed as log2 (a) or as fold-difference of individual ACP samples relative to the average of all other tumor and normal samples (b-d)\n\n\nIn a series of pair-wise comparisons (limma) with normal brain from a range of anatomic sites (including pituitary) and other brain (AT/RT, CPP, EPN, GBM, PA, MED, MEN, PNET), pituitary (PT) and peripheral solid tumors of childhood (MPNST, RMS) we identified genes that were overexpressed by ACP in all comparisons (FDR pâ\x80\x89<â\x80\x890.05).']	(24810, 25295)
643	PMC4438576	123	['These 384 ACP signature genes were then examined for enrichment (FDRâ\x80\x89<â\x80\x890.005) of gene ontology terms curated by Gene Ontology (biological processes), Panther (biological processes) and KEGG (pathways) databases using DAVID.']	(25296, 25523)
644	PMC4438576	124	['The majority of ontologic terms were comprised of ectodermal development-related genes (odontogenic, epidermal, epithelial development) (TableÂ\xa03).']	(25524, 25671)
645	PMC4438576	125	['Morphologic characteristics of odontogenesis in ACP range from deposits of calcium, which are evident on an x-ray, to development of whole teeth.']	(25672, 25817)
646	PMC4438576	126	['Specific genes contributing to odontogenesis signature include DLX2, ODAM, AMBN, AMELX, ENAM, TP63, EDAR, SHH, FGF4.']	(25818, 25934)
647	PMC4438576	128	['The ACP genes that were highly expressed within these epidermal ontologies include numerous keratins (KRT5, KRT13, KRT14, KRT15, KRT16, KRT31, KRT34, KRT85) and laminins (LAMA3, LAMC2).']	(26253, 26438)
648	PMC4438576	132	['Wnt pathway genes are expressed homogeneously and not at abnormally high levels in ACP (Fig.Â\xa04b), with the exception of the transcription factor (TCF)/lymphoid enhancer-binding factor (LEF) targets LEF1 and WNT5A.']	(26918, 27132)
649	PMC4438576	134	['Caption (Fig): FIG 5\n\nExpression of the indicated developmental and cancer-related genes in individual pediatric ACP samples.']	(27377, 27502)
650	PMC4438576	135	['Epidermal growth factor (EGF) family genes (a).']	(27503, 27550)
651	PMC4438576	137	['Developmental genes from the Notch (c), Six transcription factor (d), Sonic hedgehog (Shh) (e), Bone morphogenetic protein (BMP) and Fibroblast growth factor (FGF) (f) families.']	(27596, 27773)
652	PMC4438576	152	['One group, including LCK, EPHA2 and SRC, is targeted by the kinase inhibitor dasatinib.']	(29927, 30014)
653	PMC4438576	154	['A second group of targets we identified are extracellular proteases, of which many were strongly represented in our analysis; two in particular, MMPs 9 and 12, are targeted by the drug AZD1236.']	(30158, 30351)
654	PMC4438576	164	['Conclusions\n\nCurrent standard therapy for ACP is surgery and radiation, both of which lead to high morbidity in this sensitive region of the brain, especially in children, in whom these morbidities become a lifelong and life-altering disease.']	(32280, 32522)
655	PMC4438576	171	['Competing interests\n\nThe authors declare that they have no competing interests.']	(33621, 33700)
656	PMC4438576	172	['Authorsâ\x80\x99 contributions\n\nJMG, AMD, BKK-D, LG, NF and TCH designed the study.']	(33702, 33779)
657	PMC4438576	173	['AMD, VMA, AMG, BKK-D, MH, and TCH collected and processed the tumor samples.']	(33780, 33856)
658	PMC4438576	174	['JMG, AMD, DKB, VMA, KKR, AMG conducted the experiments.']	(33857, 33912)
659	PMC4438576	175	['JMG, AMD, DKB and TCH performed the transcriptomic data analysis.']	(33913, 33978)
660	PMC4438576	176	['JMJ, RCEA and AR provided tumor samples.']	(33979, 34019)
661	PMC4438576	177	['JMG, AMD and TCH drafted the manuscript with editorial input from all authors.']	(34020, 34098)
662	PMC4438576	178	['All authors read and approved the final manuscript.']	(34099, 34150)
663	PMC7222517	1	['The incidence of the disease has a bimodal distribution, with peaks occurring in children and older adults.']	(321, 428)
664	PMC7222517	5	['These included: canonical differential expression analysis; divisive, agglomerative, and probabilistic based hierarchical clustering; information theory based characterizations; and the deep learning approach, HD Spot.']	(1236, 1454)
665	PMC7222517	8	['Introduction\n\nAdamantinomatous craniopharyngioma (ACP) is a histologically benign brain tumor that arises in the sellar/suprasellar region.']	(1685, 1824)
666	PMC7222517	19	['Materials and methods\n\nTumor samples\n\nA total of 36 craniopharyngioma tumor samples, as diagnosed by surgical pathology, were included in this study (Table S1).']	(3763, 3923)
667	PMC7222517	20	['Twenty-seven were acquired during surgery for pediatric patients (age at surgery <â\x80\x8918â\x80\x89years; meanâ\x80\x89=â\x80\x898.4â\x80\x89years, medianâ\x80\x89=â\x80\x898.0â\x80\x89years), and 9 from adults (age at surgery â\x89¥18â\x80\x89years; meanâ\x80\x89=â\x80\x8947.9â\x80\x89years, medianâ\x80\x89=â\x80\x8944.0â\x80\x89years).']	(3924, 4173)
668	PMC7222517	21	['The pediatric specimens were obtained from patients who underwent surgery at member institutions of the Advancing Treatment for Pediatric Craniopharyngioma (ATPC) consortium.']	(4174, 4348)
669	PMC7222517	22	['Adult specimens were obtained from University of Colorado Hospital and from the University of Alabama, Birmingham.']	(4349, 4463)
670	PMC7222517	23	['Tumor samples were snap-frozen in liquid nitrogen in the operating room and subsequently stored in freezers at â\x88\x92â\x80\x8980â\x80\x89Â°C.']	(4464, 4590)
671	PMC7222517	24	['For transport between institutions, samples were packaged on dry ice, shipped via overnight courier, and immediately placed in a freezer at â\x88\x92â\x80\x8980â\x80\x89Â°C.']	(4591, 4746)
672	PMC7222517	25	['RNA extraction and sequencing\n\nRNA was extracted from snap-frozen samples using the Allprep DNA/RNA Kit (QIAGENÂ®, Maryland, USA).']	(4748, 4878)
673	PMC7222517	26	['The quality of the isolated mRNA was determined via DNA analysis ScreenTape (Aligent Technologies).']	(4879, 4978)
674	PMC7222517	27	['Samples that passed quality control were used to generate cDNA libraries using the Illumina TruSeq Stranded mRNA Sample Prep Kit.']	(4979, 5108)
675	PMC7222517	28	['RNA sequencing was carried out using the Illumina HiSeq4000 platform with paired-end reads (2â\x80\x89Ã\x97â\x80\x89151).']	(5109, 5215)
676	PMC7222517	29	['On average, 40 million reads were collected for each sample and outputted to FASTQ files.']	(5216, 5305)
677	PMC7222517	30	['Sequencing reads were subjected to adapter-trimming and quality control using the Trimmomatic package.']	(5306, 5408)
678	PMC7222517	31	['Files were mapped to the GRCh38 genome (v33) and subsequently sorted to yield BAM files using the standard STAR pipeline.']	(5409, 5530)
679	PMC7222517	32	['BAM files were converted to feature counts using the R Bioconductor package RSubread.']	(5531, 5616)
680	PMC7222517	33	['Normal pituitary RNA sequencing data was obtained from the GTEx portal (www.gtexportal.org).']	(5617, 5709)
681	PMC7222517	36	['Canonical differential expression analysis\n\nFeature counts for transcriptomes of adult and pediatric ACP samples were analytically processed using a standard DESeq2 protocol.']	(6069, 6243)
682	PMC7222517	37	['As the experiment intended to rule out differences in gene expression between the 2 age groups, an Independent Hypothesis Weighted (IHW) p-value threshold of 0.1 was utilized to filter transcripts identified as differentially expressed.']	(6244, 6480)
683	PMC7222517	38	['Results were visualized using a Mass Action (MA) plot and a Euclidean Distance Matrix was employed to serve as a qualitative foundation from which to make statistical methodology arguments downstream.']	(6481, 6681)
684	PMC7222517	39	['Caption (Fig): FIG 1\n\nGlobal Transcriptional Profiling of Adult and Pediatric ACP Samples.']	(6683, 6773)
685	PMC7222517	40	['a MA-plot visualizing transcripts indicating significant (Independent Hypothesis Weighting (IHW) adjusted p-value <â\x80\x890.1; red) and insignificant genes (black) as determined in differential expression analysis; transcripts enriched relative to pediatric patients are log fold change (LFC) up (>â\x80\x890) and transcripts enriched relative to adult patients are LFC down (<â\x80\x890).']	(6774, 7147)
686	PMC7222517	41	['b Euclidean sample distance matrix without clustering demonstrated the relative heterogeneity across all sample groups from a global transcriptional expression perspective.']	(7148, 7320)
687	PMC7222517	42	['c-e Clustering paradigms utilized in dataset exploration.']	(7321, 7378)
688	PMC7222517	43	['c Dendrogram yielded from the DIvisive ANAlysis (DIANA) hierarchical clustering algorithm.']	(7379, 7469)
689	PMC7222517	44	['d Dendrogram produced by the AGlomerative NESting (AGNES) hierarchical clustering algorithm using complete linkage.']	(7470, 7585)
690	PMC7222517	45	['e Clustering partitions and group ellipsoids generated by the fuzzy analysis (FANNY) probabilistic k-centroid technique.']	(7586, 7706)
691	PMC7222517	46	['f-h Silhouette plots depicting mean silhouette width across a range of numbers of clusters.']	(7707, 7798)
692	PMC7222517	47	['Possible silhouette values are within [â\x88\x92â\x80\x891,1] where a value of 1 indicates the cluster member is most-closely related to the members within that cluster and dissimilar to those outside of the cluster.']	(7799, 8003)
693	PMC7222517	49	['f Silhouette plot generated from the DIANA clustering presented in 1c.']	(8122, 8192)
694	PMC7222517	50	['g Silhouette plot produced by the AGNES algorithm output presented in 1d.']	(8193, 8266)
695	PMC7222517	51	['h Silhouette plot yielded by the FANNY algorithm results visualized in 1e\n\nDivisive, agglomerative, and probabilistic clustering was performed using the DIANA, AGNES, and FANNY functions in the cluster R package, respectively.']	(8267, 8493)
696	PMC7222517	52	['AGNES was implemented with the complete-linkage method.']	(8494, 8549)
697	PMC7222517	54	['As shown below in Fig.Â\xa01b, we expect no linear dissimilarity between transcriptomes relative to age group, making complete-linkage an appropriate clustering strategy.']	(8724, 8891)
698	PMC7222517	56	['DIANA and AGNES calculate metrics for cluster organization known as the Divisive Coefficient (DC) and Agglomerative Coefficient (AC), respectively.']	(9108, 9255)
699	PMC7222517	57	['These coefficients range between 0 and 1, and indicate the precision with which the dendrogram describes the data, with 1 being the most ideal structure and 0 being the worst.']	(9256, 9431)
700	PMC7222517	60	['Silhouette widths range between â\x88\x92â\x80\x891 and 1.']	(9926, 9972)
701	PMC7222517	63	['The mean Silhouette Value was calculated for a range of cluster numbers for the DIANA, AGNES, and FANNY algorithms (Fig.']	(10253, 10373)
702	PMC7222517	64	['1f, g, h, respectively).']	(10374, 10398)
703	PMC7222517	69	['DKL is a mathematical approach to identify differences between data distributions through non-linear integration.']	(11136, 11249)
704	PMC7222517	71	['â\x80\x9cground truthâ\x80\x9d).']	(11516, 11536)
705	PMC7222517	73	['To calculate DKL, raw feature counts generated by RSubread were first class-balanced using the Synthetic Minority Oversampling Technique (SMOTE) via the python imblearn package.']	(11715, 11892)
706	PMC7222517	74	['DKL values were then calculated for the synthetically balanced dataset using the python scipy stats module.']	(11893, 12000)
707	PMC7222517	75	['MIC is used to measure the strength of any linear and/or non-linear relationship between two variables.']	(12002, 12105)
708	PMC7222517	76	['This is accomplished by binning continuous variables and iteratively calculating mutual information (i.e., the dependence between variables) to identify the maxima.']	(12106, 12270)
709	PMC7222517	78	['MIC was calculated using the python minepy module.']	(12525, 12575)
710	PMC7222517	79	['HD spot analysis\n\nRaw feature counts derived from RSubread were submitted to the HD Spot algorithm.']	(12577, 12676)
711	PMC7222517	81	['HD Spot developed a classifier that achieved an average AUPR value of 1.00 over 5-fold cross-validation and subsequently determined the mean absolute Shapley value for each transcript.']	(12840, 13024)
712	PMC7222517	86	['1a).']	(13837, 13841)
713	PMC7222517	88	['1b).']	(13973, 13977)
714	PMC7222517	90	['1c-d; Divisive Coefficient [DC]â\x80\x89=â\x80\x890.66, Agglomerative Coefficient [AC]â\x80\x89=â\x80\x890.59) as well as the absence of distinct clusters between the adult and pediatric ACP samples.']	(14082, 14257)
715	PMC7222517	91	['Congruently, probabilistic analysis in 2D principal component space, using FANNY, depicted nearly 70 % of the data variance (69.93%, Fig.']	(14258, 14395)
716	PMC7222517	92	['1e) and failed to partition the data into groups based on age cohort.']	(14396, 14465)
717	PMC7222517	94	['1f-h).']	(14635, 14641)
718	PMC7222517	97	['Caption (Fig): FIG 2\n\nTranscriptional Profiling of Previously Identified Therapeutic Targets.']	(15096, 15189)
719	PMC7222517	100	['b Volcano plot for all transcripts with previously identified targets indicated by red arrows.']	(15449, 15543)
720	PMC7222517	101	['The solid black horizontal line at yâ\x80\x89=â\x80\x891 indicates the threshold for p-value significance (pÂ\xa0<â\x80\x890.1; yâ\x80\x89=â\x80\x89â\x88\x92log(0.1)â\x80\x89=â\x80\x891).']	(15544, 15680)
721	PMC7222517	102	['c-e Clustering paradigms utilized in dataset exploration.']	(15681, 15738)
722	PMC7222517	103	['c Dendrogram yielded from the DIvisive ANAlysis (DIANA) hierarchical clustering algorithm with respect to only the twenty previously identified targets.']	(15739, 15891)
723	PMC7222517	104	['d Dendrogram produced by the AGlomerative NESting (AGNES) hierarchical clustering algorithm using complete linkage with respect to only the twenty previously identified targets.']	(15892, 16069)
724	PMC7222517	105	['e Clustering partitions and group ellipsoids generated by the fuzzy analysis (FANNY) probabilistic k-centroid technique with respect to only the twenty previously identified targets.']	(16070, 16252)
725	PMC7222517	106	['f-h Silhouette plots depicting mean silhouette width across a range of numbers of clusters.']	(16253, 16344)
726	PMC7222517	107	['f Silhouette plot generated from the DIANA clustering presented in 2c.']	(16345, 16415)
727	PMC7222517	108	['g Silhouette plot produced by the AGNES algorithm output presented in 2d.']	(16416, 16489)
728	PMC7222517	113	['Next, this data subset was subjected to the same divisive, agglomerative, and probabilistic clustering protocols (Fig.']	(17210, 17328)
729	PMC7222517	114	['2c-e) as the total dataset above.']	(17329, 17362)
730	PMC7222517	115	['There was slight improvement in data organization (i.e., an increase in clustering coefficients; DCâ\x80\x89=â\x80\x890.78, and ACâ\x80\x89=â\x80\x890.77, relative to 0.66 and 0.59 when analyzing the full transcriptome).']	(17363, 17559)
731	PMC7222517	117	['2f-h).']	(17719, 17725)
